# FCTZS-TRPG public スキーマ列一覧
# 更新日: 2026-07-17
# 出典: 既存 information_schema ダンプをベースに、database-optimization 適用後の
#       junction / 軽量ビュー、および Worker・フロントが参照する列を反映。
# 注意: column_id は旧ダンプ由来のため欠番があり、新規追加列は概算番号の場合がある。
#       本番の正本は下記SQLで再取得し、本ファイルを置き換えること。
#
# --- 再取得用SQL (Supabase SQL Editor) ---
# SELECT
#   c.table_name,
#   c.column_name,
#   c.ordinal_position AS column_id,
#   c.data_type,
#   c.is_nullable
# FROM information_schema.columns AS c
# JOIN information_schema.tables AS t
#   ON t.table_schema = c.table_schema
#  AND t.table_name = c.table_name
# WHERE c.table_schema = 'public'
#   AND t.table_type IN ('BASE TABLE', 'VIEW')
# ORDER BY c.table_name, c.ordinal_position;
# ----------------------------------------

| table_name               | column_name            | column_id | data_type                | is_nullable | kind  | notes |
| ------------------------ | ---------------------- | --------- | ------------------------ | ----------- | ----- | ----- |
| character_attributes     | character_id           | 1         | text                     | NO          | table | 親: characters.id |
| character_attributes     | key                    | 2         | text                     | NO          | table | STR等のキー |
| character_attributes     | value_int              | 3         | integer                  | YES         | table | |
| character_attributes     | value_emotion          | 4         | USER-DEFINED             | YES         | table | emotion enum |
| character_attributes     | updated_at             | 5         | timestamp with time zone | NO          | table | |
| character_attributes     | user_id                | 6         | uuid                     | YES         | table | 所有者 |
| character_last_session   | character_id           | 1         | text                     | YES         | view  | run_characters接合版 |
| character_last_session   | last_session_start     | 2         | timestamp with time zone | YES         | view  | |
| character_scenarios      | character_id           | 1         | text                     | NO          | table | PK複合 |
| character_scenarios      | scenario_id            | 2         | text                     | NO          | table | PK複合 |
| character_scenarios      | user_id                | 3         | uuid                     | YES         | table | |
| character_skill_basecalc | character_id           | 1         | text                     | YES         | view  | レガシー |
| character_skill_basecalc | system                 | 2         | text                     | YES         | view  | |
| character_skill_basecalc | skill_key              | 3         | text                     | YES         | view  | |
| character_skill_basecalc | name                   | 4         | text                     | YES         | view  | |
| character_skill_basecalc | sort_order             | 5         | integer                  | YES         | view  | |
| character_skill_basecalc | base_value             | 6         | integer                  | YES         | view  | |
| character_skill_list     | character_id           | 1         | text                     | YES         | view  | レガシー |
| character_skill_list     | system                 | 2         | text                     | YES         | view  | |
| character_skill_list     | name                   | 3         | text                     | YES         | view  | |
| character_skill_list     | sort_order             | 4         | integer                  | YES         | view  | |
| character_skill_list     | base_value             | 5         | integer                  | YES         | view  | |
| character_skill_list     | override_value         | 6         | integer                  | YES         | view  | |
| character_skill_list     | display_value          | 7         | integer                  | YES         | view  | |
| character_skills         | character_id           | 1         | text                     | NO          | table | |
| character_skills         | name                   | 2         | text                     | NO          | table | |
| character_skills         | value                  | 3         | integer                  | NO          | table | |
| character_skills         | skill_key              | 4         | text                     | YES         | table | |
| character_skills         | label                  | 5         | text                     | YES         | table | |
| character_skills         | user_id                | 6         | uuid                     | YES         | table | |
| characters               | id                     | 1         | text                     | NO          | table | PK |
| characters               | name                   | 2         | text                     | NO          | table | |
| characters               | system                 | 4         | text                     | YES         | table | |
| characters               | state                  | 5         | text                     | YES         | table | |
| characters               | updated_at             | 9         | timestamp with time zone | NO          | table | |
| characters               | job                    | 10        | text                     | YES         | table | |
| characters               | age                    | 11        | integer                  | YES         | table | |
| characters               | gender                 | 12        | text                     | YES         | table | |
| characters               | height                 | 13        | integer                  | YES         | table | |
| characters               | weight                 | 14        | integer                  | YES         | table | |
| characters               | origin                 | 15        | text                     | YES         | table | |
| characters               | memo                   | 16        | text                     | YES         | table | |
| characters               | iachara_url            | 25        | text                     | YES         | table | |
| characters               | race                   | 26        | text                     | YES         | table | |
| characters               | original_species       | 27        | text                     | YES         | table | |
| characters               | user_id                | 28        | uuid                     | YES         | table | |
| characters               | player_id              | 29        | text                     | YES         | table | FK→players |
| characters               | reading                | 30        | text                     | YES         | table | |
| characters               | image_url              | —         | text                     | YES         | table | アプリ参照。ordinalは本番再取得で確定 |
| comments                 | id                     | 1         | uuid                     | NO          | table | PK |
| comments                 | target_type            | 2         | text                     | NO          | table | run/session等 |
| comments                 | target_id              | 3         | text                     | NO          | table | |
| comments                 | author                 | 4         | text                     | NO          | table | |
| comments                 | body                   | 5         | text                     | NO          | table | |
| comments                 | created_at             | 6         | timestamp with time zone | NO          | table | |
| comments                 | user_id                | 7         | uuid                     | YES         | table | |
| player_availability      | player_id              | 1         | text                     | NO          | table | PK複合 |
| player_availability      | target_date            | 2         | date                     | NO          | table | PK複合 |
| player_availability      | time_slot              | 3         | text                     | NO          | table | PK複合 |
| player_availability      | status                 | 4         | text                     | NO          | table | |
| player_availability      | created_at             | 5         | timestamp with time zone | NO          | table | |
| player_availability      | updated_at             | 6         | timestamp with time zone | NO          | table | |
| player_availability      | raw_text               | 7         | text                     | YES         | table | |
| player_availability      | user_id                | 8         | uuid                     | YES         | table | |
| player_detail_summary    | player_id              | 1         | text                     | YES         | view  | 軽量ビュー |
| player_detail_summary    | player_name            | 2         | text                     | YES         | view  | |
| player_detail_summary    | memo                   | 3         | text                     | YES         | view  | |
| player_detail_summary    | icon_url               | 4         | text                     | YES         | view  | |
| player_detail_summary    | profile_text           | 5         | text                     | YES         | view  | |
